APL,thickness,bending,tilt,zorder,compress
0.531555,4.857236333,97.8845,159.715,0.854396,288.4183942
0.593014,4.477722143,38.3503,63.5977,0.582911,11.70305556
0.529654,4.847704497,97.5994,170.596,0.859057,294.456471
0.535768,4.833788957,85.7269,151.769,0.837397,24.48654714
0.528346,4.835494864,99.2108,180.284,0.863198,322.7675727
0.530675,4.834971829,97.2934,138.264,0.859509,54.38120021
0.530263,4.837293149,95.7399,176.387,0.860087,327.5878442
0.539711,4.802898947,82.8903,161.393,0.82137,35.43438238
0.633983,4.202885084,25.3169,34.7266,0.443988,38.8487023
0.634494,4.194917987,25.4305,34.4146,0.442424,37.63007741
0.639603,4.170232672,24.1793,32.965,0.430186,37.18467644
0.639085,4.1683072,24.1984,33.0669,0.430361,35.65322782
0.653007,4.090361117,22.2812,29.2174,0.398546,30.68961234
0.654226,4.085917524,21.7896,29.011,0.395596,30.63998194
0.624247,4.246964318,27.2989,38.2607,0.470826,43.95035821
0.624785,4.250770594,27.2787,38.3803,0.470511,39.88939939
0.614894,4.306334759,29.6071,42.9925,0.498582,49.9622979
0.61521,4.305236198,29.1942,42.3322,0.497721,47.71773221
0.596001,4.414313232,35.998,54.77,0.565731,52.21311489
0.596725,4.406155848,35.7677,54.7354,0.562793,49.60135823
0.610592,4.32497046,30.9464,44.595,0.513364,51.31692955
0.610667,4.329001187,30.9983,44.472,0.512662,48.53163284
0.787634,3.43111448,8.23925,11.8912,0.0687461,22.15369377
0.798356,3.406613792,8.40787,11.4538,0.0678057,23.735989
0.752481,3.545350402,8.29621,13.364,0.0845559,22.38906348
0.776899,3.466291315,8.29292,12.2748,0.0734996,23.03073574
0.784926,3.438867944,8.08418,12.0429,0.0722314,23.02339451
0.764213,3.506579362,8.38547,12.9177,0.0787578,21.24705216
0.769286,3.496435726,8.26453,12.6853,0.0778384,22.64101153
0.722612,3.764006258,11.4319,16.2882,0.216505,42.69152643
0.70877,3.795713236,11.7091,17.6542,0.229157,41.97172684
0.703287,3.80532389,11.6919,18.1753,0.236771,44.60656697
0.713129,3.77947895,11.5653,17.1851,0.227175,43.85394352
0.699954,3.813810249,12.0384,18.6294,0.240212,44.23855356
0.69203,3.8371856,12.1183,19.4439,0.24549,44.51597093
0.715529,3.776911232,11.4236,16.8469,0.224491,43.61911257
0.779625,3.507469184,9.65753,12.3347,0.190078,13.37042781
0.795625,3.442015208,9.46942,11.754,0.183687,12.66045501
0.772805,3.524142513,9.8444,12.6878,0.194071,14.21836216
0.728555,3.703570376,10.4835,14.9121,0.214401,15.96460485
0.74644,3.632187318,10.0094,13.7392,0.204933,14.54536381
0.763518,3.562160863,9.79805,12.8162,0.195465,14.17861851
0.752011,3.61250954,9.94056,13.3303,0.201612,14.43394726
0.776817,3.493786094,8.29785,12.4271,0.0756305,26.89286759
0.78421,3.476164876,8.26924,12.1058,0.0722651,27.63650385
0.745961,3.580124977,8.62573,14.0747,0.0891177,26.94075555
0.765691,3.520953433,8.30901,12.8178,0.0800231,25.36700203
0.773989,3.502291896,8.2558,12.5463,0.0765757,27.67111396
0.756201,3.544719123,8.51268,13.5801,0.0846112,25.98435102
0.759772,3.534282325,8.30841,13.1347,0.0829816,25.9309376
,,,,,
0.609643,4.375081341,32.0532,45.8425,0.518758,52.92054057
0.539173,4.821892099,82.6211,155.611,0.828084,164.3783304
0.613217,4.356460372,31.2983,43.7854,0.507171,50.20700012
0.616992,4.333721787,30.2833,45.6221,0.500506,7.513655709
0.622527,4.307439373,28.2659,39.2896,0.477259,47.1665118
0.535935,4.82634564,87.4187,157.171,0.840378,212.6356775
0.604152,4.403216516,33.6852,49.7506,0.538197,54.39132388
0.532301,4.835327979,93.9773,155.195,0.851818,266.7612461
0.581438,4.541171552,43.6796,83.7994,0.634061,4.991288716
0.528518,4.842414444,99.5313,183.363,0.864767,314.4148381
0.532587,4.8313646,95.8253,179.964,0.850175,37.56597666
0.531811,4.845578597,93.6404,161.261,0.854236,265.5330368
0.571309,4.609040736,49.31,104.348,0.678412,4.185683874
0.721705,3.818349057,11.6952,16.4695,0.239491,26.35966548
0.729813,3.799694572,11.4009,15.7388,0.233251,24.95823129
0.719544,3.820673406,11.6633,16.2585,0.243093,26.73040644
0.696299,3.887515635,12.7849,19.0701,0.263651,29.52416238
0.704783,3.864329446,12.2239,17.9106,0.25586,28.62530287
0.714103,3.833275294,11.9157,16.6962,0.247523,27.65145357
0.708213,3.850112328,12.1636,17.4645,0.252501,27.74841891
0.698509,3.844159876,13.5174,18.8081,0.27548,35.07289434
0.706931,3.8163763,13.1395,17.9376,0.264699,34.55258472
0.694589,3.860500706,13.6065,19.4839,0.278787,36.54776938
0.667356,3.986113581,15.1523,23.1061,0.315654,41.04576481
0.67827,3.939903944,14.2605,21.3006,0.299983,40.52443612
0.687426,3.893302459,13.9793,20.1423,0.288727,38.03605011
0.681362,3.914774259,14.2888,21.0885,0.296181,38.68523699
0.628605,4.236871982,26.2401,36.6887,0.45867,42.30009805
0.629559,4.231099482,26.347,36.1098,0.456636,41.34896156
0.6336,4.208666313,25.4343,34.92,0.445146,38.90168158
0.633894,4.20343263,25.2875,34.5327,0.444778,37.76586475
0.646649,4.134745875,23.2823,31.3824,0.414376,34.41072592
0.64784,4.129890075,23.1069,30.4737,0.410575,34.313068
0.620402,4.278241779,28.2512,40.3704,0.483679,46.88249977
0.620817,4.281267794,28.1583,39.444,0.480711,45.85507525
0.611295,4.330350735,30.8117,43.8555,0.511608,51.37302401
0.611947,4.33409715,30.8802,44.4689,0.509924,48.90572483
0.548191,4.714790198,66.4655,125.664,0.779644,4.402347814
0.560992,4.65084347,55.4991,127.457,0.723624,3.933983621
0.607177,4.354222951,31.8569,47.3962,0.523264,53.5884676
0.607055,4.357126837,32.0226,47.1016,0.524413,51.30928341
0.680313,4.009958425,17.1272,23.3885,0.3366,22.86255468
0.684412,3.995741986,16.7726,22.6659,0.330478,22.29954915
0.695885,3.927494876,15.9679,20.8834,0.311765,21.78225705
0.671633,4.050398377,17.9859,25.1753,0.351496,26.13024479
0.662737,4.088631811,19.1563,26.495,0.36756,28.08167287
0.645367,4.178125069,21.3002,30.9216,0.404128,32.73649445
0.658386,4.112484542,19.4708,27.2056,0.376324,28.75915438
0.760079,3.540825537,10.435,13.6148,0.18534,26.66988511
0.737796,3.629743129,10.5291,15.1278,0.199022,28.77157064
0.729718,3.664472001,10.6864,15.5792,0.204165,28.73129201
0.745652,3.599416893,10.3703,14.6316,0.192803,27.96445308
0.726373,3.681507737,10.8999,15.621,0.20605,30.29047406
0.712071,3.735610417,11.1561,17.094,0.217282,28.61354986
0.750133,3.580446055,10.2747,14.3351,0.191633,28.03697582
