APL,thickness,bending,tilt,zorder,compress,sterol.present,tails,sterol.conc
0.787634,3.431114,8.23925,11.8912,0.068746,22.153694,yes,DI,20
0.798356,3.406614,8.40787,11.4538,0.067806,23.735989,yes,DI,20
0.752481,3.54535,8.29621,13.364,0.084556,22.389063,yes,DI,20
0.776899,3.466291,8.29292,12.2748,0.0735,23.030736,yes,DI,20
0.784926,3.438868,8.08418,12.0429,0.072231,23.023395,yes,DI,20
0.764213,3.506579,8.38547,12.9177,0.078758,21.247052,yes,DI,20
0.769286,3.496436,8.26453,12.6853,0.077838,22.641012,yes,DI,20
0.722612,3.764006,11.4319,16.2882,0.216505,42.691526,yes,DO,20
0.70877,3.795713,11.7091,17.6542,0.229157,41.971727,yes,DO,20
0.703287,3.805324,11.6919,18.1753,0.236771,44.606567,yes,DO,20
0.713129,3.779479,11.5653,17.1851,0.227175,43.853944,yes,DO,20
0.699954,3.81381,12.0384,18.6294,0.240212,44.238554,yes,DO,20
0.69203,3.837186,12.1183,19.4439,0.24549,44.515971,yes,DO,20
0.715529,3.776911,11.4236,16.8469,0.224491,43.619113,yes,DO,20
0.779625,3.507469,9.65753,12.3347,0.190078,13.370428,yes,PO,20
0.795625,3.442015,9.46942,11.754,0.183687,12.660455,yes,PO,20
0.772805,3.524143,9.8444,12.6878,0.194071,14.218362,yes,PO,20
0.728555,3.70357,10.4835,14.9121,0.214401,15.964605,yes,PO,20
0.74644,3.632187,10.0094,13.7392,0.204933,14.545364,yes,PO,20
0.763518,3.562161,9.79805,12.8162,0.195465,14.178619,yes,PO,20
0.752011,3.61251,9.94056,13.3303,0.201612,14.433947,yes,PO,20
0.776817,3.493786,8.29785,12.4271,0.075631,26.892868,yes,DI,20
0.78421,3.476165,8.26924,12.1058,0.072265,27.636504,yes,DI,20
0.745961,3.580125,8.62573,14.0747,0.089118,26.940756,yes,DI,20
0.765691,3.520953,8.30901,12.8178,0.080023,25.367002,yes,DI,20
0.773989,3.502292,8.2558,12.5463,0.076576,27.671114,yes,DI,20
0.756201,3.544719,8.51268,13.5801,0.084611,25.984351,yes,DI,20
0.759772,3.534282,8.30841,13.1347,0.082982,25.930938,yes,DI,20
0.609643,4.375081,32.0532,45.8425,0.518758,52.920541,yes,DP,20
0.539173,4.821892,82.6211,155.611,0.828084,164.37833,yes,DP,20
0.613217,4.35646,31.2983,43.7854,0.507171,50.207,yes,DP,20
0.616992,4.333722,30.2833,45.6221,0.500506,7.513656,yes,DP,20
0.622527,4.307439,28.2659,39.2896,0.477259,47.166512,yes,DP,20
0.535935,4.826346,87.4187,157.171,0.840378,212.635678,yes,DP,20
0.604152,4.403217,33.6852,49.7506,0.538197,54.391324,yes,DP,20
0.532301,4.835328,93.9773,155.195,0.851818,266.761246,yes,DP,20
0.581438,4.541172,43.6796,83.7994,0.634061,4.991289,yes,DP,20
0.528518,4.842414,99.5313,183.363,0.864767,314.414838,yes,DP,20
0.532587,4.831365,95.8253,179.964,0.850175,37.565977,yes,DP,20
0.531811,4.845579,93.6404,161.261,0.854236,265.533037,yes,DP,20
0.571309,4.609041,49.31,104.348,0.678412,4.185684,yes,DP,20
0.721705,3.818349,11.6952,16.4695,0.239491,26.359665,yes,PO,20
0.729813,3.799695,11.4009,15.7388,0.233251,24.958231,yes,PO,20
0.719544,3.820673,11.6633,16.2585,0.243093,26.730406,yes,PO,20
0.696299,3.887516,12.7849,19.0701,0.263651,29.524162,yes,PO,20
0.704783,3.864329,12.2239,17.9106,0.25586,28.625303,yes,PO,20
0.714103,3.833275,11.9157,16.6962,0.247523,27.651454,yes,PO,20
0.708213,3.850112,12.1636,17.4645,0.252501,27.748419,yes,PO,20
0.698509,3.84416,13.5174,18.8081,0.27548,35.072894,yes,PO,20
0.706931,3.816376,13.1395,17.9376,0.264699,34.552585,yes,PO,20
0.694589,3.860501,13.6065,19.4839,0.278787,36.547769,yes,PO,20
0.667356,3.986114,15.1523,23.1061,0.315654,41.045765,yes,PO,20
0.67827,3.939904,14.2605,21.3006,0.299983,40.524436,yes,PO,20
0.687426,3.893302,13.9793,20.1423,0.288727,38.03605,yes,PO,20
0.681362,3.914774,14.2888,21.0885,0.296181,38.685237,yes,PO,20
0.628605,4.236872,26.2401,36.6887,0.45867,42.300098,yes,DP,20
0.629559,4.231099,26.347,36.1098,0.456636,41.348962,yes,DP,20
0.6336,4.208666,25.4343,34.92,0.445146,38.901682,yes,DP,20
0.633894,4.203433,25.2875,34.5327,0.444778,37.765865,yes,DP,20
0.646649,4.134746,23.2823,31.3824,0.414376,34.410726,yes,DP,20
0.64784,4.12989,23.1069,30.4737,0.410575,34.313068,yes,DP,20
0.620402,4.278242,28.2512,40.3704,0.483679,46.8825,yes,DP,20
0.620817,4.281268,28.1583,39.444,0.480711,45.855075,yes,DP,20
0.611295,4.330351,30.8117,43.8555,0.511608,51.373024,yes,DP,20
0.611947,4.334097,30.8802,44.4689,0.509924,48.905725,yes,DP,20
0.548191,4.71479,66.4655,125.664,0.779644,4.402348,yes,DP,20
0.560992,4.650843,55.4991,127.457,0.723624,3.933984,yes,DP,20
0.607177,4.354223,31.8569,47.3962,0.523264,53.588468,yes,DP,20
0.607055,4.357127,32.0226,47.1016,0.524413,51.309283,yes,DP,20
0.680313,4.009958,17.1272,23.3885,0.3366,22.862555,yes,DP,20
0.684412,3.995742,16.7726,22.6659,0.330478,22.299549,yes,DP,20
0.695885,3.927495,15.9679,20.8834,0.311765,21.782257,yes,DP,20
0.671633,4.050398,17.9859,25.1753,0.351496,26.130245,yes,DP,20
0.662737,4.088632,19.1563,26.495,0.36756,28.081673,yes,DP,20
0.645367,4.178125,21.3002,30.9216,0.404128,32.736494,yes,DP,20
0.658386,4.112485,19.4708,27.2056,0.376324,28.759154,yes,DP,20
0.760079,3.540826,10.435,13.6148,0.18534,26.669885,yes,DO,20
