APL,thickness,bending,tilt,zorder,compress
0.527518109,0.42748396,0.110752359,0.063162243,0.290680849,0.066801107
0.553793435,0.403043756,0.105608546,0.056414555,0.275997083,0.064251523
0.538347099,0.415562517,0.107957972,0.059645664,0.284263901,0.064773612
0.820011974,0.152501178,0.061780453,0.017660708,0.036794154,0.031547391
0.845244089,0.129390877,0.061533608,0.016298051,0.03222032,0.0311938
0.711624553,0.234254013,0.063541924,0.025600494,0.052762749,0.028711266
0.782395123,0.176422688,0.060578739,0.020833003,0.040660495,0.029645798
0.80633683,0.160293044,0.061502133,0.018664152,0.037471627,0.031285329
0.749252743,0.203133877,0.062428403,0.022156301,0.047671949,0.029873908
0.762712441,0.190487674,0.061349472,0.021112593,0.044671613,0.030522379
0.60008255,0.351009359,0.086329835,0.044109923,0.184060715,0.061846976
0.615712582,0.34098375,0.085548557,0.042684833,0.181469788,0.058245047
0.592301552,0.357747614,0.087772563,0.046796783,0.186812259,0.060324408
0.654517787,0.315467383,0.084416583,0.037057312,0.171113834,0.057238894
0.568353041,0.375549751,0.088503513,0.050009342,0.191412567,0.060519139
0.634678623,0.328464107,0.084973383,0.040630894,0.174074735,0.058465653
0.628108657,0.330913577,0.084437353,0.040772046,0.177227269,0.05825748
0.556569285,0.427788635,0.12211444,0.062870439,0.310252926,0.032739212
0.568495916,0.417252126,0.118120976,0.058724558,0.303524713,0.031917317
0.606217088,0.383968232,0.110465571,0.051525819,0.280990627,0.027221412
0.533777379,0.453234362,0.12842298,0.069086997,0.326859671,0.035980742
0.507014464,0.476880952,0.13579639,0.077946532,0.347694535,0.0414907
0.461299116,0.528839098,0.153891202,0.098525281,0.389764144,0.049875827
0.495613975,0.492355818,0.141292496,0.082843412,0.357129984,0.041645139
0.541125217,0.45236299,0.127036172,0.067586807,0.323836739,0.036842549
0.549436892,0.441077405,0.124193055,0.066552147,0.318112108,0.036273044
0.580626653,0.413758382,0.117411595,0.056443057,0.297270599,0.031575238
0.51902047,0.474890559,0.133009992,0.073324716,0.341192294,0.041134408
0.495382655,0.499362462,0.139662837,0.081329197,0.360862957,0.042807136
0.452173282,0.539664671,0.160314776,0.10274038,0.401021771,0.054869002
0.482440027,0.508556778,0.147813531,0.089130094,0.372570314,0.046798434
0.627759408,0.321832942,0.093215146,0.041368321,0.236049841,0.044889974
0.659888059,0.294199029,0.091242779,0.03750203,0.224911846,0.040706879
0.616948561,0.330493991,0.094221701,0.043001972,0.237153117,0.044963485
0.531620652,0.416215099,0.105241873,0.059745194,0.278286714,0.05499945
0.560293097,0.386602427,0.100714775,0.052651414,0.264163448,0.051476956
0.595592204,0.351938148,0.09591367,0.045597445,0.248208034,0.047006633
0.572564441,0.371598173,0.099071535,0.049731563,0.256045062,0.04808652
0.661847482,0.327851184,0.087333993,0.034960846,0.21298184,0.033636752
0.683330839,0.312908966,0.082992229,0.031978563,0.2054018,0.03384804
0.655560998,0.333479408,0.085667586,0.03655378,0.215227162,0.035289371
0.585595515,0.393622116,0.092496978,0.047618811,0.241400066,0.039911572
0.614642156,0.365038423,0.089156176,0.042122036,0.228157428,0.03890392
0.639488736,0.346503601,0.086278708,0.037458599,0.220825514,0.036426691
0.621822173,0.36011562,0.088579404,0.041147998,0.225264097,0.038876775
0.496768312,0.507925346,0.145591123,0.084368936,0.363489331,0.047942604
0.506626662,0.497629101,0.140925024,0.081264503,0.354197883,0.047195623
0.530166959,0.477011753,0.134260196,0.070568638,0.335420032,0.042970251
