APL,thickness,bending,tilt,zorder,compress,sterol.present,tails,sterol.conc
0.577511,0.382527,0.103752,0.050296,0.262926,0.057878,yes,PO,20
0.601337,0.36131,0.099544,0.046938,0.251417,0.056571,yes,PO,20
0.571528,0.38492,0.101907,0.052055,0.266127,0.058655,yes,PO,20
0.503511,0.455003,0.114417,0.06917,0.306626,0.067749,yes,PO,20
0.527518,0.427484,0.110752,0.063162,0.290681,0.066801,yes,PO,20
0.553793,0.403044,0.105609,0.056415,0.275997,0.064252,yes,PO,20
0.538347,0.415563,0.107958,0.059646,0.284264,0.064774,yes,PO,20
0.820012,0.152501,0.06178,0.017661,0.036794,0.031547,yes,DI,20
0.845244,0.129391,0.061534,0.016298,0.03222,0.031194,yes,DI,20
0.711625,0.234254,0.063542,0.0256,0.052763,0.028711,yes,DI,20
0.782395,0.176423,0.060579,0.020833,0.04066,0.029646,yes,DI,20
0.806337,0.160293,0.061502,0.018664,0.037472,0.031285,yes,DI,20
0.749253,0.203134,0.062428,0.022156,0.047672,0.029874,yes,DI,20
0.762712,0.190488,0.061349,0.021113,0.044672,0.030522,yes,DI,20
0.600083,0.351009,0.08633,0.04411,0.184061,0.061847,yes,PI,20
0.615713,0.340984,0.085549,0.042685,0.18147,0.058245,yes,PI,20
0.592302,0.357748,0.087773,0.046797,0.186812,0.060324,yes,PI,20
0.654518,0.315467,0.084417,0.037057,0.171114,0.057239,yes,PI,20
0.568353,0.37555,0.088504,0.050009,0.191413,0.060519,yes,PI,20
0.634679,0.328464,0.084973,0.040631,0.174075,0.058466,yes,PI,20
0.628109,0.330914,0.084437,0.040772,0.177227,0.058257,yes,PI,20
0.556569,0.427789,0.122114,0.06287,0.310253,0.032739,yes,DP,20
0.568496,0.417252,0.118121,0.058725,0.303525,0.031917,yes,DP,20
0.606217,0.383968,0.110466,0.051526,0.280991,0.027221,yes,DP,20
0.533777,0.453234,0.128423,0.069087,0.32686,0.035981,yes,DP,20
0.507014,0.476881,0.135796,0.077947,0.347695,0.041491,yes,DP,20
